Zeitstempel,Wie häufig nutzen sie Chat Bots ?,Wofür nutzen sie Chat-Bots im Hochschulalltag?,"Wie häufig prüfen Sie die Quellen, die die KI zur Erstellung einer Antwort genutzt hat?",Wie viel Zeit sparen sie sich durch die Nutzung von KI (Gefühlt)?,Bewerten sie inwiefern die Nutzung von KI ihnen im Hochschulalltag nutzt/nutze.,Wie oft korrigieren sie KI Antworten?,"Würden sie sagen, dass KI ihnen eine Große Hilfe ist, oder nur ihre Art des Lernens verändert und sonst nicht so relevant ist.",Begründen sie bitte warum sie sich in der vorherigen Frage für ja oder nein entschieden haben.,Wie oft sehen sie Inhalte die von KI erstellt sind?,"Wie oft ist markiert, dass der Inhalt KI generiert ist?",Wie empfinden sie KI Inhalte im Durchschnitt?,"Haben KI Inhalte sie schon in ihrem Hochschulalltag behindert/gestört, z.B. falsche Information verteilt, ohne ersichtlich zu machen woher diese kommen?","Haben KI Inhalte sie schon in ihrem Lebensalltag behindert/gestört, z.B. falsche Information verteilt, ohne ersichtlich zu machen woher diese kommen?","Wie oft schauen sie sich gewollt Video's online (YouTube, Instagram, Telegram, Facebook, TikTok, etc...) an?",Wie viel KI generierter Content wird ihnen vorgeschlagen?,Wie viel Content schauen sie sich davon auch an?,Welchem Geschlecht ordnen sie sich zu,Wie Alt sind Sie ? (Einfach Zahl eingeben),In welchem Fachbereich studieren sie,In welchem Fachsemester befinden sie sich?
25.11.2025 13:02:21,Kaum,Für gar nichts,Manchmal,Gar keine,Es ist manchmal nützlich,Manchmal,Unsicher,"Ich nutz es nicht zum Lernen",Manchmal,Nie,Sehr Nervig,Nicht bewusst,Ja,Häufig,21% - 40%,0%,Weiblich,19,Angewandte Informatik,1 Fachsemester
25.11.2025 13:01:04,Häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Häufig,Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie", ,Oft,Selten,Kommt auf den Inhalt darauf an,Ja,Ja,Oft,1% - 20%,1% - 20%,Männlich,20,Angewandte Informatik,1 Fachsemester
25.11.2025 13:12:39,Häufig,"Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Häufig,Gar keine,Es ist manchmal nützlich,Manchmal,"Nein, ist sie nicht ",ich vertraue KI eben nicht zu 100%,Oft,Selten,Sehr Nervig,Nicht bewusst,Nein,Häufig,21% - 40%,1% - 20%,Weiblich,20,Angewandte Informatik,1 Fachsemester
25.11.2025 16:26:49,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Sehr Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie","KI ermöglicht es mir, so oft und viele Fragen wie ich möchte zu einem Punkt stellen zu können, ohne, dass es mir peinlich wird",Sehr Oft,Manchmal,Sehr Nervig,Ja,Ja,Häufig,21% - 40%,1% - 20%,Weiblich,21,Angewandte Informatik,1 Fachsemester
25.11.2025 12:56:26,Moderat,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Häufig,Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","Ja, weil ich denke, dass es eine große Hilfe ist, weil es manche Dinge individueller erklären kann Aber ich versteh bei ja oder nein, die oder frage nicht. ",Oft,Selten,Manchmal Nervig,Nicht bewusst,Ja,Selten,21% - 40%,41% - 60%,Weiblich,21,Angewandte Informatik,5 Fachsemester
25.11.2025 13:09:23,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Ich kann Konzepte schneller erstellen und MVPs schneller umsetzen um Projektideen zu validieren. ,Oft,Manchmal,Manchmal Nervig,Ja,Ja,Häufig,21% - 40%,1% - 20%,Männlich,21,Angewandte Informatik,5 Fachsemester
25.11.2025 13:59:10,Kaum,"Für das zusammenfassen von Seminaren, Dokumente",Häufig,Moderat,Es ist ausgewogen,Manchmal,Unsicher,.,Sehr Oft,Selten,Sehr Nervig,Nicht bewusst,Ja,Manchmal,1% - 20%,0%,Weiblich,21,Gesundheitswissenschaften (früher PG),5 Fachsemester
25.11.2025 13:00:20,Häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Weil es so ist ,Oft,Selten,Kommt auf den Inhalt darauf an,Nicht bewusst,Nein,Manchmal,21% - 40%,1% - 20%,Männlich,22,Angewandte Informatik,1 Fachsemester
25.11.2025 12:51:26,Moderat,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Manchmal,Moderat,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","KI hilft mir im Alltag viel. Es ist eine schnelle Möglichkeit, fragen zu beantworten, neutrale Meinungen zu bekommen und mir Themen beizubringen, bei denen sich andere während dem Erklären die Haare ausreißen würden. Ich konnte in den letzten Jahren auch gut erleben, wie sich die Antworten von KI in Genauigkeit und Aktualität verbessert haben.",Oft,Manchmal,Kommt auf den Inhalt darauf an,Nein,Nein,Häufig,1% - 20%,21% - 40%,Männlich,22,Angewandte Informatik,5 Fachsemester
25.11.2025 13:16:26,Moderat,"Fürs Lernen (Fragen über Lerninhalte stellen), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Moderat,Es hilft eher als es schadet,Oft,Unsicher,"Manchmal hilfreich, manchmal nicht. Sehr Themenabhängig",Oft,Manchmal,Manchmal Nervig,Nein,Nein,Häufig,21% - 40%,1% - 20%,Männlich,22,Angewandte Informatik,5 Fachsemester
